Data;Godzina;Generacja Zrodel wiatrowych;Generacja Zrodel fotowoltaicznych
25.11.2021;14;1878,113;803,788
25.11.2021;15;1907,988;423,763
25.11.2021;16;2128,575;109,688
25.11.2021;17;2508,3;1,925
25.11.2021;18;2989,238;0
25.11.2021;19;3221,963;0
25.11.2021;20;3544,625;0
25.11.2021;21;3775,75;0
25.11.2021;22;3988,038;0
25.11.2021;23;4063,613;0
25.11.2021;24;4096,425;0
26.11.2021;1;4005,088;0
26.11.2021;2;3838,638;0
26.11.2021;3;3572,513;0
26.11.2021;4;3357,663;0,05
26.11.2021;5;3207,925;0
26.11.2021;6;2967,788;0,025
26.11.2021;7;2738,763;0,038
26.11.2021;8;2387,4;13,95
26.11.2021;9;2215,038;123,775
26.11.2021;10;1984,263;333,825
26.11.2021;11;1667,188;491,9
26.11.2021;12;1308,388;494,375
26.11.2021;13;956,425;459,975
26.11.2021;14;732,925;348,775
26.11.2021;15;535,463;209,45
26.11.2021;16;568,713;57,863
26.11.2021;17;697,538;1,475
26.11.2021;18;767,238;0,538
26.11.2021;19;747,625;0,5
26.11.2021;20;748,813;0,5
26.11.2021;21;685,938;0,5
26.11.2021;22;620,138;0,5
26.11.2021;23;533,263;0,5
26.11.2021;24;575,35;0,5
27.11.2021;1;701,838;0,5
27.11.2021;2;748,538;0,5
27.11.2021;3;814,2;0,5
27.11.2021;4;922,663;0,5
27.11.2021;5;1019,475;0,5
27.11.2021;6;1008,425;0,5
27.11.2021;7;1041,65;0,5
27.11.2021;8;1019,638;16,463
27.11.2021;9;964,738;98,463
27.11.2021;10;817,675;337,55
27.11.2021;11;661,788;553,95
27.11.2021;12;625,288;772,238
27.11.2021;13;576,05;775,738
27.11.2021;14;555,95;606,938
27.11.2021;15;615;320,388
27.11.2021;16;697,775;93,225
27.11.2021;17;752,6;1,7
27.11.2021;18;793,225;0,5
27.11.2021;19;840,588;0,5
27.11.2021;20;954,425;0,5
27.11.2021;21;992,613;0,538
27.11.2021;22;1071,5;0,538
27.11.2021;23;1138,463;0,5
27.11.2021;24;1151,613;0,5
28.11.2021;1;1091,613;0,5
28.11.2021;2;996,125;0,5
28.11.2021;3;1004,663;0,5
28.11.2021;4;986,95;0,5
28.11.2021;5;1005,863;0,5
28.11.2021;6;1006,238;0,513
28.11.2021;7;932,163;0,538
28.11.2021;8;809,525;14,35
28.11.2021;9;720,263;97,925
28.11.2021;10;628,663;285,625
28.11.2021;11;577,3;435,738
28.11.2021;12;450,813;504,938
28.11.2021;13;385,375;410,038
28.11.2021;14;391,063;370,35
28.11.2021;15;383,313;170,938
28.11.2021;16;398,375;35,225
28.11.2021;17;442,375;1,15
28.11.2021;18;500,638;0,5
28.11.2021;19;538,375;0,5
28.11.2021;20;624,625;0,5
28.11.2021;21;703,05;0,5
28.11.2021;22;799,788;0,5
28.11.2021;23;931,475;0,575
28.11.2021;24;906,638;0,7
29.11.2021;1;895,725;0,95
29.11.2021;2;989,988;0,513
29.11.2021;3;1087,35;0,575
29.11.2021;4;1209,763;0,6
29.11.2021;5;1312,713;0,538
29.11.2021;6;1389,838;0,513
29.11.2021;7;1502,275;0,575
29.11.2021;8;1576,963;7,488
29.11.2021;9;1712,2;51,888
29.11.2021;10;1921,825;127,163
29.11.2021;11;2049,975;201,375
29.11.2021;12;2396,863;248,45
29.11.2021;13;2719,75;268,7
29.11.2021;14;3022,1;216,275
29.11.2021;15;3254,4;118,663
29.11.2021;16;3281,913;43,263
29.11.2021;17;3307,45;1,525
29.11.2021;18;3623,35;0,5
29.11.2021;19;3835,038;0,5
29.11.2021;20;3885,5;0,5
29.11.2021;21;3797,525;0,5
29.11.2021;22;3706,725;0,5
29.11.2021;23;3672,675;0,5
29.11.2021;24;3631,475;0,5
30.11.2021;1;3764,1;0,5
30.11.2021;2;3733,8;0,5
30.11.2021;3;3509,738;0,5
30.11.2021;4;3361,338;0,5
30.11.2021;5;3174,038;0,5
30.11.2021;6;3174,763;0,5
30.11.2021;7;3386,975;0,5
30.11.2021;8;3755,475;12,638
30.11.2021;9;4031,65;124,338
30.11.2021;10;4214;376,088
30.11.2021;11;4658,95;611,138
30.11.2021;12;4764;744,725
30.11.2021;13;4802,825;597,888
